http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/443883/hierarchy,443883,83.82 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4042140/hierarchy,4042140,61.82 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4103320/hierarchy,4103320,71.15 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4180169/hierarchy,4180169,106.20 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4027384/hierarchy,4027384,79.60 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4029205/hierarchy,4029205,177.66 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/443883/children,443883,43.20 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4042140/children,4042140,52.18 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4103320/children,4103320,24.23 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4180169/children,4180169,39.29 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4027384/children,4027384,30.44 seconds
http://localhost:8080/api/repository/v1/snapshots/c3eb4708-444f-4cbf-a32c-0d3bb93d4819/snapshotBuilder/concepts/4029205/children,4029205,68.53 seconds
